Amended_Category,Category_ID,Txn Category L4 (Clean),Service,Digital Time,Branch Time,Migratable,Monthly Count,Details,service_image_link,service_alt_text,cat_image_link,cat_alt_text,description,deep_link
Accounts,2,ACCOUNT ADDON,Account Opening,9,37,TRUE,1000,Current Savings accounts-Add-on Account Opening,icons/Account Opening.png,,categories/accounts.jpg,,"Open a new account with us anytime, anywhere with digibank using these easy steps.",https://internet-banking.dbs.com.sg/IB/Welcome
Accounts,2,ACCOUNT CLOSURE,Account Closure,7,23,TRUE,10000,Closure of accounts,icons/Account Closure.png,,categories/accounts.jpg,,Close your DBS/POSB Deposit Account via digibank Online.,https://internet-banking.dbs.com.sg/IB/Welcome
Accounts,2,ACCOUNT UPDATE,Account Update ,7,27,FALSE,500,Closure of accounts,icons/Account Update.png,,categories/accounts.jpg,,Updating of personal particulars have never been simpler. No more queueing up at the branch to update your personal details,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,ACARD ISSUANCE,ATM Card Issuance,5,15,TRUE,5000,Issue ACard,icons/ATM Card Issuance.png,,categories/atm_debit_card.jpg,,Apply for a ATM Card via digibank,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,ACARD REPLACEMENT,ATM Card Replacement,5,12,TRUE,2000,Replace Acard,icons/ATM Card Replacement.png,,categories/atm_debit_card.jpg,,Replace or block your ATM card(s) immediately using our online services and request for a replacement instantly.,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,DCARD ISSUANCE,Debit Card Issuance,5,16,TRUE,1000,Issue DCard,icons/Debit Card Issuance.png,,categories/atm_debit_card.jpg,,Apply for a Debit Card via digibank,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,DCARD REPLACEMENT,Debit Card Replacement,5,14,TRUE,5000,Replace Dcard to Acard,icons/Debit Card Replacement.png,,categories/atm_debit_card.jpg,,Replace or block your Debit card(s) immediately using our online services and request for a replacement instantly.,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,DCARD ACTIVATION,Activate Debit Card,5,17,TRUE,5000,Activate DCard,icons/Activate Debit Card.png,,categories/atm_debit_card.jpg,,You can activate your new Debit card easily using digibank,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,ACARD ACTIVATION,Activate ATM Card,5,16,TRUE,500,Activate ACard,icons/Activate ATM Card.png,,categories/atm_debit_card.jpg,,You can activate your new ATM card easily using digibank,https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,ACARD UPDATE,Update ATM Card,5,13,FALSE,500,Update ACard,icons/Update ATM Card.png,,categories/atm_debit_card.jpg,,"With our enhanced digibank mobile, you can now update your ATM Cards, Withdrawal limit instantly! (Applicable only for active cards)",https://internet-banking.dbs.com.sg/IB/Welcome
ATM/Debit Card,4,DCARD UPDATE,Update Debit Card,5,12,FALSE,500,Update DCard,icons/Update Debit Card.png,,categories/atm_debit_card.jpg,,"With our enhanced digibank mobile, you can now update your Debit Card's NETS, Withdrawal and 3rd Party Funds Transfer limit instantly! (Applicable only for active cards)",https://internet-banking.dbs.com.sg/IB/Welcome
